Symbol,name,Last Price,Market Time,Change,% Change
BTC-USD,Bitcoin USD,"68,708.20",5:00PM UTC,"+1,303.71",+1.93%
ETH-USD,Ethereum USD,"3,272.63",5:00PM UTC,+26.42,+0.81%
SOL-USD,Solana USD,181.87,5:00PM UTC,+0.64,+0.35%
BTC-CAD,Bitcoin CAD,"95,020.02",5:01PM UTC,"+1,802.97",+1.93%
DOGE-USD,Dogecoin USD,0.133080,5:01PM UTC,+0.002137,+1.63%
XRP-USD,XRP USD,0.596951,5:01PM UTC,+0.001525,+0.26%
NFLX,"Netflix, Inc.",631.37,4:00PM EDT,-2.72,-0.43%
LINE,"Lineage, Inc.",82.88,4:00PM EDT,+2.10,+2.60%
ENB,Enbridge Inc.,36.66,4:00PM EDT,+0.33,+0.91%
SOL-CAD,Solana CAD,251.52,5:01PM UTC,+0.88,+0.35%
BTC-EUR,Bitcoin EUR,"63,200.28",5:01PM UTC,"+1,199.20",+1.93%
SHIB-USD,Shiba Inu USD,0.000017,5:00PM UTC,+0.000000,+2.46%
ADA-USD,Cardano USD,0.427458,5:00PM UTC,+0.012828,+3.09%
ETH-CAD,Ethereum CAD,"4,525.88",5:01PM UTC,+36.54,+0.81%
JASMY-USD,JasmyCoin USD,0.032009,4:59PM UTC,+0.002648,+9.02%
VFIAX,Vanguard 500 Index Fund,503.99,8:01PM EDT,+5.56,+1.12%
ABT,Abbott Laboratories,105.24,4:00PM EDT,-0.72,-0.68%
MPW,"Medical Properties Trust, Inc.",5.31,4:00PM EDT,+0.11,+2.12%
O,Realty Income Corporation,58.07,4:00PM EDT,+0.71,+1.24%
BROS,Dutch Bros Inc.,38.02,4:00PM EDT,+0.86,+2.31%
MCD,McDonald's Corporation,252.00,4:00PM EDT,+0.54,+0.21%
NIPG,NIP Group Inc. American Depositary Shares,9.02,4:00PM EDT,+0.02,+0.22%
ET,Energy Transfer LP,16.27,4:00PM EDT,+0.14,+0.87%
FXAIX,Fidelity 500 Index,189.67,8:01PM EDT,+2.09,+1.11%
SAVA,"Cassava Sciences, Inc.",14.92,4:00PM EDT,+2.17,+17.02%
PM,Philip Morris International Inc.,113.36,4:00PM EDT,+0.16,+0.14%
EPD,Enterprise Products Partners L.P.,29.94,4:00PM EDT,+0.38,+1.29%
VALE,Vale S.A.,10.86,4:00PM EDT,+0.16,+1.50%
KO,The Coca-Cola Company,67.05,4:00PM EDT,+0.98,+1.48%
AGNC,AGNC Investment Corp.,10.05,4:00PM EDT,+0.18,+1.82%
